Episode,Num_pages,Num_reviews
1,448,6720
2,281,4215
3,173,2595
4,198,2970
5,139,2085
6,137,2055
7,170,2550
8,137,2055
9,146,2190
10,90,1350
11,98,1470
12,107,1605
13,119,1785
14,203,3045
15,129,1935
16,121,1815
17,111,1665
18,107,1605
19,110,1650
20,119,1785
21,129,1935
22,171,2565
23,144,2160
24,203,3045
25,158,2370
26,105,1575
27,92,1380
28,75,1125
29,85,1275
30,81,1215
31,98,1470
32,122,1830
33,80,1200
34,55,825
35,92,1380
36,72,1080
37,84,1260
38,135,2025
39,88,1320
40,118,1770
41,106,1590
42,53,795
43,122,1830
44,92,1380
45,83,1245
46,64,960
47,132,1980
48,97,1455
49,110,1650
50,95,1425
51,92,1380
52,68,1020
53,106,1590
54,116,1740
55,102,1530
56,83,1245
57,71,1065
58,71,1065
59,78,1170
60,72,1080
61,54,810
62,54,810
63,64,960
64,124,1860
65,105,1575
66,78,1170
67,115,1725
68,49,735
69,88,1320
70,74,1110
71,57,855
72,61,915
73,80,1200
74,85,1275
75,73,1095
76,63,945
77,74,1110
78,61,915
79,76,1140
80,33,495
81,35,525
82,44,660
83,45,675
84,78,1170
85,56,840
86,78,1170
87,95,1425
88,89,1335
89,41,615
90,53,795
91,46,690
92,63,945
93,92,1380
94,41,615
95,89,1335
96,64,960
97,66,990
98,50,750
99,104,1560
100,57,855
101,107,1605
102,52,780
103,41,615
104,38,570
105,45,675
106,37,555
107,66,990
108,70,1050
109,57,855
110,30,450
111,42,630
112,52,780
113,38,570
114,24,360
115,52,780
116,35,525
117,33,495
118,21,315
119,16,240
120,32,480
121,42,630
